No.,GND No.,GN Division,Key Activities proposed for Soil and Water conservation,Priority based on Soil Erosion Hazard,Sub Item No.,N or X,E or Y,Add.Coordinates,Quantity,Proposed measure/s,Uniti Cost (Rs.),Total Cost (Rs.),Total Cost,"Contribution (Local Community, LA, and the project)",Time frame for the implementation
80,954,Uduwela waththa,"2. Establishment of Retaining Wall (Mr. Chaminda Wijekoon, Uduwelwatte), 70°",2,1,7.253805556,80.63527778,,7 m x 6 m,Retaining Wall using stones,"2,000.00 m-2","42,000.00","1,292,000.00",Guidance by NRMC,0.25 Years
81,955,Galthenna,1. Renovation of four (04) Leader Drains,1,1,7.25681,80.64975,,2.5 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"250,000.00",,Labour and other basic services by the Local community/ Shramadana,1 Year
82,955,Galthenna,1. Renovation of four (04) Leader Drains,1,2,7.25552,80.64779,,,,,,,,
83,955,Galthenna,1. Renovation of four (04) Leader Drains,1,3,7.25499,80.64793,,,,,,,,
84,955,Galthenna,1. Renovation of four (04) Leader Drains,5,4,7.256638889,80.64491667,,,,,,,,
85,955,Galthenna,2. Establishing a Retaining Wall for Gorakagahamadithtgha Ela,1,1,7.253361111,80.64861111,,16 m x 4 m,Retaining Wall using stones,"2,000.00 m-2","64,000.00",,Guidance by NRMC,0.25 Years
86,955,Galthenna,3. Establishing a Retaining Wall 2 (Galthenne Junior School),4,1,7.256277778,80.64544444,"7.25627777777778, 80.6454722222222",22 m x 2 m,Retaining Wall using stones,"2,000.00 m-2","44,000.00",,Funds by the Project,0.25 Years
87,955,Galthenna,"4. Soil and water conservation measures in Home Gardens/Galthenna, 55°",1,1,7.25675,80.64466667,"7.25702777777778, 80.6656388888889",12.5 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"3,125,000.00","3,483,000.00",Labour and other basic services by the Local community,0.5 Years
88,962,Nehiniwela,1. Rennovation of eleven (11) Leader Drains,5,1,7.253555556,80.66563889,,16.7 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"1,670,000.00",,Labour and other basic services by the Local community/ Shramadana,1.5 Years
89,962,Nehiniwela,1. Rennovation of eleven (11) Leader Drains,4,2,7.25278,80.66694,,,,,,,,
90,962,Nehiniwela,1. Rennovation of eleven (11) Leader Drains,4,3,7.25361,80.66507,,,,,,,,
91,962,Nehiniwela,1. Rennovation of eleven (11) Leader Drains,5,4,7.255,80.66839444,,,,,,,,
92,962,Nehiniwela,1. Rennovation of eleven (11) Leader Drains,4,5,7.254928,80.66877222,"7.24914, 80.66873",,,,,,,
93,962,Nehiniwela,1. Rennovation of eleven (11) Leader Drains,5,6,7.252917,80.66591667,,,,,,,,
94,962,Nehiniwela,1. Rennovation of eleven (11) Leader Drains,3,7,7.256611,80.67880556,,,,,,,,
95,962,Nehiniwela,1. Rennovation of eleven (11) Leader Drains,2,8,7.255278,80.67430556,,,,,,,,
96,962,Nehiniwela,1. Rennovation of eleven (11) Leader Drains,4,9,7.255694,80.671,,,,,,,,
97,962,Nehiniwela,1. Rennovation of eleven (11) Leader Drains,1,10,7.25526,80.66948,,,,,,,,
98,962,Nehiniwela,1. Rennovation of eleven (11) Leader Drains,3,11,7.25587,80.67012,,,,,,,,
99,962,Nehiniwela,"2. Soil and water conservation measures in home gardens, Nahiniwela, 70 - 80° slope",4,1,7.25037,80.66929,"7.25955556, 80.66825
7.25135, 80.66653
7.2535, 80.66525
7.25497222, 80.68581",16 ha,Live fencing/SALT,250.00 m-1,"4,000,000.00",,Labour and other basic services by the Local community,1 Year
100,962,Nehiniwela,"3. Soil and water conservation measures in waste lands, Nahiniwela, 80° slope",4,1,7.25057,80.66874,,3 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"750,000.00",,Labour and other basic services by the Local community,0.5 Years
101,962,Nehiniwela,"4. Preparation of Drain at the middle of village/Raod, Nehiniwela",4,1,7.25073,80.66754,,1.5 km x 0.5 m x 0.5 m,Drain,400.00 m-1,"600,000.00",,,0.25 Years
102,962,Nehiniwela,"5. Soil and water conservation measures, Dewagolla Waththa (30 - 60°)",5,1,7.256583333,80.6692,,24 ha,"Live fencing/SALT - 15 ha
Stone terracing - 5 ha
Lock and Spills - 4 ha","250.00 m-1
2,500.00 m-1
400.00 m-1","3750000
12500000
1600000","24,870,000.00",Labour and other basic services by the Local community,2 Years
103,963,Godampitiya,1. Stream bank conservation with side walls in Thalathuoya 1,3,1,7.25338,80.66935,,"0.5 km x 3 m 
2 km","Side walls
Clearing and planting some trees along the banks (Areca nut) and other conservation practices","2,000.00 m-3","1500000
200000",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
104,963,Godampitiya,2. Stream bank conservation with side walls in Thalathuoya 2,5,1,7.25288,80.67251,,0.2 km x 6 m x 1 m,Side walls,"2,000.00 m-3","1,200,000.00",,Guidance by NRMC,0.25 Years
105,963,Godampitiya,3. Rennovation of Leader Drain 1,3,1,7.25021,80.67399,,2 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"200,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
106,963,Godampitiya,4. Rennovation of Leader Drain 2,4,1,7.24982,80.67545,,1.2 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"120,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
107,963,Godampitiya,5. Rennovation of Leader Drain 3,3,1,7.2498,80.67564,,2 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"200,000.00","3,420,000.00",Labour and other basic services by the Local community/ Shramadana,0.5 Years
108,964,Puliyadda,1. Renovation of three (03) Leader Drains,1,1,7.243472222,80.65602778,,5 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"500,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
109,964,Puliyadda,1. Renovation of three (03) Leader Drains,1,2,7.24147,80.65469,,,,,,,,
110,964,Puliyadda,1. Renovation of three (03) Leader Drains,4,3,7.23766,80.65795,,,,,,,,
