No.,GN Division No.,GN Division,Key Activities proposed for Soil and Water conservation,Priority based on Soil Erosion Hazard,On/Off Site,N,E,Quantity,Proposed measure/s,Unit Cost (Rs.),Total Cost (LKR),Sum of Costs (LKR),"Contribution (Local Community, LA, and the project)",Time frame for the implementation
87,512,Wellagiriya,2. Renovation of natural drains - Hawariella Oya,5,Off,7.067708,80.786231,500 m,Planting some trees along the banks and other conservation practices,,"50,000",,Labor and other basic services by the Local community/ Shramadana,0.5 Years
88,512,Wellagiriya,3. Soil conservation practices - Etamagodawatta (65°),4,On,7.073599,80.78923,4 ha,"Live fencing/ SALT or Stone terracing/lock and spills, as applied",250 m-1,"1,000,000",,Labor and other basic services by the Local community,0.5 Years
89,512,Wellagiriya,4. Soil conservation practices - Udaarawa (65°),2,On,7.072729,80.790123,8 ha,"Live fencing/ SALT or Stone terracing/lock and spills, as applied",250 m-1,"2,000,000",,Labor and other basic services by the Local community,0.5 Years
90,512,Wellagiriya,5. Soil conservation practices - Udaarawa (70°),5,On,7.072157,80.790728,3 ha,"Live fencing/ SALT or Stone terracing/lock and spills, as applied",250 m-1,"750,000","3,900,000",Labor and other basic services by the Local community,0.25 Years
91,512 F,Wewathenna,1. Renovation of natural drains - Torrent from No.1 spring,5,Off,7.057704,80.789684,300 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"30,000",,Labor and other basic services by the Local community/ Shramadana,0.25 Years
92,512 F,Wewathenna,2. Renovation of natural drains - Torrent near Wewathenna lake,5,Off,7.063187,80.790742,1 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"100,000",,Labor and other basic services by the Local community/ Shramadana,0.5 Years
93,512 F,Wewathenna,3. Renovation of natural drains - Gonapitiya waterfall (Katuerella waterfall),2,Off,7.058555,80.796654,1 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"100,000",,Labor and other basic services by the Local community/ Shramadana,0.5 Years
94,512 F,Wewathenna,4. Soil conservation practices - Wewathenna reservation (40°),1,On,7.059137,80.788257,20 ha,"Live fencing/ SALT or Stone terracing/lock and spills, as applied",250 m-1,"5,000,000",,Labor and other basic services by the Local community,0.5 Years
95,512 F,Wewathenna,5. Soil conservation practices - Wewathenna (70°),5,On,7.061991,80.788524,4 ha,"Live fencing/ SALT or Stone terracing/lock and spills, as applied",250 m-1,"1,000,000",,Labor and other basic services by the Local community,0.5 Years
96,512 F,Wewathenna,6. Soil conservation practices - Wewathenna (60°),5,On,7.062709,80.789366,3.5 ha,"Live fencing/ SALT or Stone terracing/lock and spills, as applied",250 m-1,"875,000",,Labor and other basic services by the Local community,0.5 Years
97,512 F,Wewathenna,7. Soil conservation practices - Wewathenna (40°),5,On,7.062469,80.791701,36 ha,"Live fencing/ SALT or Stone terracing/lock and spills, as applied",250 m-1,"9,000,000",,Labor and other basic services by the Local community,0.5 Years
98,512 F,Wewathenna,8. Soil conservation practices - Wewathenna reservation (65°),1,On,7.062661,80.791995,16 ha,"Live fencing/ SALT or Stone terracing/lock and spills, as applied",250 m-1,"4,000,000",,Labor and other basic services by the Local community,0.5 Years
99,512 F,Wewathenna,9. Establishing a side/retaining wall earth filling - Infront of the Wewathenna Nawarathna Stores,5,On,7.060776,80.787607,6 m x 0.5 m x 9 m,Side/Retaining wall,"2,000 m-3","54,000","20,159,000",Labor and other basic services by the Local community,0.25 Years
Grand Total,,,,,,,,,,,,"173,538,900",,
