"Table 5.21: Proposed interventions MWS-008-1 of the Pathahewaheta Divisional Secretariat","","","","","","",""
"Activity","Location","Description","Quantity","Units","Rate  LKR","Amount  LKR","Duration"
"Distribute woody & fruit Plants to the families around the forest (400 Plants)","Ele Mukalana Reserve Forest","Purchasing fruit plants (9\"x6\")","400","Seedlings","300","120,000","2026"
,,"Production of Seedlings         (Forest plants)","1,200","Seedlings","50","60,000",
,,"Loading                                             (01 Man day/1,800 Seedlings)","1","Man days","2,500","2,500",
,,"Loading unloading                          (01 Man day/1,800 Seedlings)","1","Man days","2,500","2,500",
,,"Transportation and distribution (2000 Seedling/Lorry load)","1","Lorry load","7,500","7,500",
,,,,,"Sub Total","192,500",
,,"Contingency (10%)",,,,"19,250",
,,,,,"Total","211,750",
"Conduct Awareness Programs
 (5 programs)","Around Millapokuna Reserve Forest","Refreshments","250","Packs","400","100,000","2025"
,,"Fuel                                                  (Rs 3,750/programs) - Two visits ( for organizing and conducting program)","10","Lump sum","3,750","37,500",
,,"Stationaries (file covers/ Handouts)","5","Lump sum","2,500","12,500",
,,,,,"Sub total","150,000",
,,"Contingency (10%)",,,,"15,000",
,,,,,"Total","165,000",
"Conduct Awareness Programs
(5 programs)","Around Kosgahalanda Reserve Forest","Refreshments","250","Packs","400","100,000","2025"
,,"Fuel                                                  (Rs 3,750/programs) - Two visits ( for organizing and conducting program)","10","Lump sum","3,750","37,500",
,,"Stationaries (file covers/ Handouts)","5","Lump sum","2,500","12,500",
,,,,,"Sub total","150,000",
,,"Contingency (10%)",,,,"15,000",
,,,,,"Total","165,000",
"Conduct Awareness Programs
(5 programs)","Around   Kakkutumadiththa Reserve Forest","Refreshments","250","Packs","400","100,000","2025"
,,"Fuel                                                  (Rs 3,750/programs) - Two visits ( for organizing and conducting program)","10","Lump sum","3,750","37,500",
,,"Stationaries (file covers/ Handouts)","5","Lump sum","2,500","12,500",
,,,,,"Sub total","150,000",
,,"Contingency (10%)",,,,"15,000",
,,,,,"Total","165,000",
"Conduct Awareness Programs
 (5 programs)","Ele Mukalana Reserve Forest","Refreshments","250","Packs","400","100,000","2025"
,,"Fuel                                                  (Rs 3,750/programs) - Two visits ( for organizing and conducting program)","10","Lump sum","3,750","37,500",
,,"Stationaries (file covers/ Handouts)","5","Lump sum","2,500","12,500",
,,,,,"Sub total","150,000",
,,"Contingency (10%)",,,,"15,000",
,,,,,"Total","165,000",
"Erect display boards
(3 Boards)","Around Kakkutumadiththa Reserve Forest","Preparation of display Boards (2’x3) (Aluminium sheets and GI pipes)","3","Boards","24,250","72,750","2025"
,,"Transportation of boards","3","Truck load","5,000","15,000",
,,"Metal, Sand and Cement mixture for erection of board","3","Lump sum","750","2,250",
,,"Fixing Boards (2 Man days/Board)","6","Man days","2,500","15,000",
,,,,,"Sub Total","105,000",
,,"Contingency (10%)",,,,"10,500",
,,,,,"Total","115,500",
"Erect display boards
(3 Boards)","Around Kosgahalanda Reserve Forest","Preparation of display Boards (2’x3) (Aluminum sheets and GI pipes)","3","Boards","24,250","72,750","2025"
,,"Transportation of boards","3","Truck load","5,000","15,000",
,,"Metal, Sand and Cement mixture for erection of board","3","Lump sum","750","2,250",
,,"Fixing Boards (2 Man days/Board)","6","Man days","2,500","15,000",
,,,,,"Sub Total","105,000",
,,"Contingency (10%)",,,,"10,500",
,,,,,"Total","115,500",
"Erect display boards
(3 Boards)","Around Millapokuna Reserve Forest","Preparation of display Boards (2’x3) (Aluminium sheets and GI pipes)","3","Boards","24,250","72,750","2025"
,,"Transportation of boards","3","Truck load","5,000","15,000",
,,"Metal, Sand and Cement mixture for erection of board","3","Lump sum","750","2,250",
,,"Fixing Boards (2 Man days/Board)","6","Man days","2,500","15,000",
,,,,,"Sub Total","105,000",
,,"Contingency (10%)",,,,"10,500",
,,,,,"Total","115,500",
"Watershed Conservation around streams (100 Plants)
60,000","Along Ma oya","Producing 100 seedlings (12\"x18”) (Kumbuk and Mee)","25","Seedlings","300","7,500","2026"
,,"Transportation of seedlings (300/Lorry load)","1","-","5,000","5,000",
,,"Head transport of seedling within the site (5 Man days)","2","Man days","2,500","5,000",
,,"Holing and planting (33 Man days)","8","Man days","2,500","20,625",
,,"Protection wooden structures-\"Koodu\" (1.5'x1.5'x5')-","25","Wooden boxes","250","6,250",
,,"Fertilizer (110 gr / Seedling)","3","Kg","300","750",
,,"Applying fertilizer (9 Man days/ha)","2","Man Days","2,500","5,625",
,,"Vacancy Planting -Seedling cost (20%)","5","Seedlings","300","1,500","2027"
,,"Vacancy Planting - Holing & Planting (7 Man days)","2.0","Man days","2,500","5,000",
,,"Vacancy Planting (10% )- Seedling cost","10","Seedlings","300","3,000","2028"
,,"Vacancy Planting - Holing & Planting (7 Man days)","1","Man days","2,500","2,500",
,,"1st years 3 maintenance, 12Man days, 3 times/year","9","Man days","2,500","22,500","2027"
,,"2nd year 2 maintenance (2 times /year) 10 Man days","5","Man days","2,500","12,500","2028"
,,"3rd year 2 maintenance (Once only) 8 Man days","5","Man days","2,500","12,500","2029"
,,"4th year 1 maintenance (Once only) 12 Man days","3","Man days","2,500","7,500","2030"
,,"Fuel cost (Supervision)","1","Lump sum","10,000","10,000","2026-2030"
,,,,,"Sub Total","127,750",
,,"Contingency",,,,"12,775",
,,,,,"Total","140,525",
"Conservation of reservations
 (200 Plants)","Kurudhiya reservation","Producing 100 seedlings (12\"x18”) (Kumbuk and Mee)","50","Seedlings","300","15,000","2026"
,,"Transportation of seedlings (300/Lorry load)","1","-","5,000","5,000",
,,"Head transport of seedling within the site (5 Man days)","2","Man days","2,500","5,000",
,,"Holing and planting (33 Man days)","8","Man days","2,500","20,625",
,,"Protection wooden structures-\"Koodu\" (1.5'x1.5'x5')-","50","Wooden boxes","250","12,500",
,,"Fertilizer (110 gr / Seedling)","5","Kg","300","1,500",
,,"Applying fertilizer (9 Man days/ha)","2","Man Days","2,500","5,625",
,,"Vacancy Planting -Seedling cost (20%)","10","Seedlings","300","3,000","2027"
,,"Vacancy Planting - Holing & Planting (7 Man days)","2.0","Man days","2,500","5,000",
,,"Vacancy Planting (10%)- Seedling cost","20","Seedlings","300","6,000","2028"
,,"Vacancy Planting - Holing & Planting (7 Man days)","1","Man days","2,500","2,500",
,,"1st years 3 maintenance, 12Man days, 3 times/year","9","Man days","2,500","22,500","2027"
